id,title,price,currency_id,ITEM_CONDITION,SINGLE_OWNER,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_DISPLACEMENT,LINE,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,CYLINDERS,ENGINE_MANUFACTURER,LOADING_CAPACITY,LENGTH,MCO1744-CILIND,MCO1744-TRAC,MCO1744-COMBUS,MCO1744-KMTS
MCO866551977,Ford Fiesta ,47800000,COP,Usado,Sí,Ford,4,1.6,Gasolina,59638 km,Fiesta,Mecánica,1.6 Sportback Titanium,2017,1.6 L,g7,5,120 hp,Delantera
MCO866564332,Chevrolet Spark,18450000,COP,Usado,,Chevrolet,4,1.0,Gasolina,102400 km,Spark GT,Mecánica,1.0,2012,1000 L,,,,Delantera
MCO866589843,Renault Logan Authentique,36500000,COP,Usado,Sí,Renault,4,1600,Gasolina,27000 km,Logan,Mecánica,Authentique,2017,,,,,4x2,Sí
MCO866602425,Foton Mini Truck Furgon Bj1030v4jv2-bh,60000000,COP,Usado,Sí,Foton,2,1500,Gasolina,45000 km,Mini Truck,Mecánica,Furgon BJ1030V4JV2-BH,2021,1500 cc,,,,4x2,Sí
MCO866531002,Chevrolet,25900000,COP,Usado,,Chevrolet,5,1000,Gasolina,26150 km,Spark,Mecánica,LIFE 1.0,2019,,,,,Delantera,
MCO866393874,Toyota Prado Txl 3.0 Mod 2018,245000000,COP,Usado,,Toyota,5,,Diésel,55000 km,Prado,Automática,TXL,2018,3000 cc,,,,4x4,Sí
MCO866393612,Toyota,135000000,COP,Usado,,Toyota,3,2700,Gasolina,122370 km,Prado,Automática,SUMO TX 2.7,2012,2700 L,,,,4x4,
MCO866386651,Toyota Fortuner Srv ,133000000,COP,Usado,,Toyota,5,3000,Diésel,95800 km,Fortuner,Automática,3.0 Srv,2014,,,,,4x4,Sí
MCO866418441,Toyota 4 Runner 2010,99000000,COP,Usado,Sí,Toyota,5,4.0,Gasolina,133980 km,4Runner,Automática,4.0 Limited Automática 245 hp,2010,4000 cc,,5,245 hp,4x4,Sí
MCO866378562,Chevrolet N300 Max,39000000,COP,Usado,,Chevrolet,2,1.2,Gasolina,120000 km,N300,Mecánica,1.2 Cargo,2016,1.2 L,,2,81 hp,Delantera,
MCO866423500,Fiat Uno Fire,11000000,COP,Usado,,Fiat,5,1.3,Gasolina,109000 km,Uno,Mecánica,1.3 Fire Cargo,2006,1300 cc,,5,68 hp,Delantera,
MCO866383706,Toyota Land Cruiser Prado ,140000000,COP,Usado,Sí,Toyota,4,3.0,Diésel,138000 km,Land Cruiser Prado,Automática,3.0,2012,3000 L,,,,4x4,
MCO866402747,Mercedes Benz,125000000,COP,Usado,Sí,Mercedes-Benz,5,2.0,Gasolina,57700 km,Clase GLC,Automática,2.0 4matic,2017,2 L,,5,208 hp,4x4,Sí
MCO866369396,Ford Fiesta Titanium,48800000,COP,Usado,Sí,Ford,4,1600,Gasolina,41900 km,Fiesta,Automática,Titanium,2017,,,,,4x2,Sí
MCO866020575,Toyota,29600000,COP,Usado,,Toyota,2,2.4,Gasolina,487353 km,Hilux,Mecánica,2.4l 117 hp 4x2,1994,2.4 L,,2,117 hp,4x2,Sí
MCO866070343,Ford Fiesta Titanium,45900000,COP,Usado,Sí,Ford,5,1.6,Gasolina,50500 km,Fiesta,Mecánica,1.6 Hatchback Titanium,2016,1.6 L,g7,5,120 hp,Delantera,Sí
MCO866013519,Ford Edge 2018,122000000,COP,Usado,Sí,Ford,5,2.7,Gasolina,49500 km,Edge,Automática,Titanium 2.0,2018,2.7 L,,5,250 hp,4x4,Sí
